,title,author,subject,desc,certificate_price,enrollment,length_by_week,difficulty
537,Estrategias y estilos de negociación  ,TecdeMonterreyX,Business & Management,"El dilema del negociador es un fenómeno derivado de la tensión que surge cuando se tiene que discernir sobre la estrategia óptima de negociación ante una situación específica. El término fue popularizado por los precursores de la teoría estratégica en la negociación, los profesores David Lax y James Sebenius de Harvard Business School para ilustrar el predicamento entre cooperar o competir en una negociación.",149.00,12915,4,0
538,Introduction to Electrical and Electronic Engineering - 電気電子工学入門 -  ,TokyoTechX,Engineering,"This course introduces fundamental topics in electrical and electronic engineering including a broad range of examples. Topics covered are solar cells (batteries) and portable cell phones, applications from Japanese companies, including the high speed railway, etc., plus advanced research being performed at high-tech laboratories in Japan.",50.00,25545,4,0
539,C Programming: Modular Programming and Memory Management  ,Dartmouth_IMTx,Computer Science,"In this course, part of the C Programming with Linux Professional Certificate program, you will be introduced to the concept of modular programming: that is, dividing up more complex tasks into manageable pieces. ",49.00,19219,7,0
540,Effective Communication for Program and Project Stakeholders and Teams  ,UMD,Business & Management,"“Everyone communicates, but few connect” is a famous book and message by John C. Maxwell on leadership. The meaning behind this message is that as leaders of programs and projects, we need to be not just communicators, but effective communicators.",199.00,0,5,0
541,Animation and CGI Motion  ,ColumbiaX,Computer Science,How do you create realistic animations? How do you predict the motion of materials? It’s key to the success of animated films to ensure (was insure) audiences believe in characters.,249.00,37272,12,2
542,Automata Theory  ,StanfordOnline,Computer Science,"We begin with a study of finite automata and the languages they can define (the so-called ""regular languages."" Topics include deterministic and nondeterministic automata, regular expressions, and the equivalence of these language-defining mechanisms. We also look at closure properties of the regular languages, e.g., the fact that the union of two regular languages is also a regular language. We consider decision properties of regular languages, e.g., the fact that there is an algorithm to tell whether or not the language defined by two finite automata are the same language. Finally, we see the pumping lemma for regular languages -- a way of proving that certain languages are not regular languages.",129.00,5015,7,2
543,Modeling and simulation of multibody systems  ,LouvainX,Engineering,"This course aims at acquainting you with the modeling and simulation of complex articulated mechanical systems, denoted as multibody systems, such as vehicles, merry-go-rounds, bicycles, cranes, human bodies, suspensions, robot manipulators, mechanical transmissions, etc.",50.00,0,14,1
544,The Rise of Superheroes and Their Impact On Pop Culture  ,SmithsonianX,Humanities,"Join the Smithsonian, and comic book industry legend, the late Stan Lee, in this self-paced course to explore the history of the comic book and the rise of superheroes.",50.00,31603,6,0
545,Introducción a la energía solar fotovoltaica: El módulo fotovoltaico  ,UPValenciaX,Engineering,"En este curso en línea nos introduciremos en la energía solar fotovoltaica, que es la transformación de la luz solar en energía. ",50.00,15012,4,1
546,"Educación de calidad para todos: equidad, inclusión y atención a la diversidad  ",UAMx,Education & Teacher Training,"¡Si te interesa la educación escolar como espacio para contribuir a una sociedad más justa e inclusiva, este curso es para ti! Sobre todo, si crees que es necesario revertir los procesos de segregación, marginación y fracaso escolar que afectan a tantos alumnos y alumnas en la actualidad.Este curso te facilitará la comprensión de principios y conceptos clave para el desarrollo de sistemas, centros escolares y prácticas educativas inclusivas. Aprenderás a entender por qué hoy la “educación inclusiva” se va extendiendo por el mundo como el “camino hacia el futuro”, para ayudar a construir sociedades también incluyentes, donde la igualdad y equidad son protagonistas. Del análisis de ejemplos de exclusión y discriminación escolar y social de muchos grupos (personas con discapacidad, migrantes, mujeres, poblaciones originarias, etc.), sacaremos las lecciones que han de guiar nuevas prácticas escolares para todo el alumnado en pro de la calidad en la educación.",49.00,25422,6,0
547,Italian Language and Culture: Advanced (2019-2020)  ,WellesleyX,Language,Benvenuti e Benvenute! (Welcome!),49.00,25089,12,2
548,Innovation Leadership  ,GTx,Business & Management,"In the 21st Century, there are millions of innovators, but few authentic innovation leaders are able to inspire and guide innovators and their teams to create breakthrough products with their innovative ideas. ",49.00,26655,6,1
549,Data Science: Machine Learning and Predictions  ,BerkeleyX,Computer Science,"One of the principal responsibilities of a data scientist is to make reliable predictions based on data. When the amount of data available is enormous, it helps if some of the analysis can be automated. Machine learning is a way of identifying patterns in data and using them to automatically make predictions or decisions. In this data science course, you will learn basic concepts and elements of machine learning. ",199.00,22304,6,0
550,Introduction to the Music Business  ,BerkleeX,Business & Management,"Three things are clear about today’s music industry: The consumption of music is expanding at the greatest rate in history and from the most portals ever imagined, the cost of producing music is decreasing, and the number of artists creating and seeking to expose their work and develop careers through the Internet has increased dramatically. As demand grows and Internet piracy wanes, ad-supported and subscription models will generate unprecedented revenues that will surpass even the best of past earnings. And, many astute “music industry-watchers” predict a steep rise in business activity and trade earnings by the end of the decade.",49.00,47118,6,0
551,Migrating to the AWS Cloud  ,AWS,Computer Science,"This four week course focuses on migrating workloads to AWS. We will focus on analyzing your current environment, planning your migration, and discussing the actual migration steps. We will also survey AWS tools and services that will accelerate your migration to AWS.",49.00,0,4,1
552,Bases Matemáticas: Números y terminología  ,UPValenciaX,Math,Este curso está concebido como una preparación mínima necesaria para los primeros cursos de ingeniería y otros estudios en los que se imparten matemáticas. En él trabajaremos:,50.00,26575,4,1
553,Inclusive Teaching: Supporting All Students in the College Classroom  ,ColumbiaX,Education & Teacher Training,Receive an instructor-signed certificate with the institution's logo to verify your achievement and increase your job prospects,49.00,10255,6,0
554,Entrepreneurship 103: Show Me The Money  ,MITx,Business & Management,Successful entrepreneurship ultimately comes down to three questions:,300.00,15767,10,0
555,Human Rights Defenders  ,AmnestyInternationalX,Social Sciences,Human rights defenders are people who have the courage to stand up against injustice. ,49.00,27670,4,0
556,Circular Economy for a Sustainable Built Environment  ,DelftX,Architecture,"Building construction is one of the most waste producing sectors. In the European Union, construction alone accounts for approximately 30% of the raw material input. In addition, the different life-cycle stages of buildings, from construction to end-of-life, cause a significant environmental impact related to energy consumption, waste generation and direct and indirect greenhouse gas emissions. ",50.00,8536,6,1
557,"Understanding Agribusiness, Value Chains, and Consumers in Global Food Systems  ",AdelaideX,Business & Management,"Agribusiness is at the core of most economies around the world. The business of feeding peopleremains both complex and extremely important. According to the World Bank, food and agribusiness is a US $5 trillion industry that represents 10 percent of global consumer spending. ",199.00,14438,4,1
558,Compostaje Orgánico en Casa  ,UNCordobaX,Environmental Studies,"El compost o abono orgánico es el producto que se obtiene al finalizar el proceso de compostaje, está constituido por materia orgánica estabilizada, es un producto inocuo y libre de sustancias fitotóxicas, que puedan causar daño a las plantas.",29.00,0,5,0
559,Líderes para la Gestión en Seguridad Ciudadana y Justicia  ,IDBx,Social Sciences,"Las altas tasas de crimen y violencia son dos de los principales problemas que afectan a los ciudadanos de America Latina y el Caribe, por lo cual las politicas publicas de seguridad ciudadana y justicia se encuentran priorizados en las agendas de los gobiernos de la region. Para mejorar la efectividad de estas politicas es imprescindible contar con una sociedad civil informada que vele porque los derechos sociales se respeten y el estado de derecho se cumpla bajo un regimen de gobernanza democratica. De ahi la importancia de poner a disposicion del publico en general este material que permite conocer tanto los conceptos teoricos como lo que actualmente se esta haciendo en la practica en cuanto a la implementacion de politicas de seguridad ciudadana y justicia en la region. ",25.00,13018,10,1
560,Astrophysics: The Violent Universe  ,ANUx,Physics,"Interested in exploring the deadliest and most mysterious parts of our universe? Or, investigating black holes, which warp the very fabric of space-time around them?",50.00,66000,10,1
561,Algorithm Design and Analysis  ,PennX,Computer Science,How do you optimally encode a text file? How do you find shortest paths in a map? How do you design a communication network? How do you route data in a network? What are the limits of efficient computation?,149.00,39536,4,1
562,Thermodynamics of Materials  ,MITx,Engineering,"This course describes the fundamental competition between energy and disorder that determines the state of materials at equilibrium. It introduces the laws of thermodynamics, the concept of equilibrium, and thermodynamic potentials. Both classical and statistical interpretations of entropy are presented, but the emphasis of the course is on classical thermodynamics. Topics covered include unary systems, reacting chemical systems, and binary phase diagrams. Emphasis is placed on the concept of constrained equilibrium, the mathematical structure of classical thermodynamics, and on free energy-composition diagrams that underpin binary phase diagrams. Computational thermodynamics is also covered, and thermodynamics software is used throughout the course. The course also emphasizes the uses of thermodynamics is materials selection and process design, and the importance of materials data.",150.00,0,16,1
563,University Chemistry: Molecular Foundations and Global Frontiers Part 1  ,HarvardX,Chemistry,"What technical forces are shaping the modern world? Revolutionary developments in the union of chemistry and physics hold the key to solving unprecedented global problems; however, understanding the central role that chemistry and technical forces play in addressing these problems and shaping our modern world requires a grasp of fundamental concepts of energy and energy transformations.",199.00,0,24,0
564,DNA: Biology’s Genetic Code  ,RICEx,Biology & Life Sciences,"DNA encodes our genetic information and is passed on within cells to maintain living organisms and to produce the next generation. The recognition of DNA as the genetic material and the ensuing identification of its structure and coding mechanism were both revolutionary and foundational. These discoveries led to transformational integration across the biological sciences with a common understanding of this fundamental unit of life! Join this exploration of DNA structure, packaging, replication, and manipulation.",169.00,35512,6,1
565,Quantum Mechanics for Everyone  ,GeorgetownX,Math,"Quantum Mechanics for Everyone is a six-week long MOOC that teaches the basic ideas of quantum mechanics with a method that requires no complicated math beyond taking square roots (and you can use a calculator for that). Quantum theory is taught without “dumbing down” any of the material, giving you the same version experts use in current research. We will cover the quantum mystery of the two-slit experiment and advanced topics that include how to see something without shining light on it (quantum seeing in the dark) and bunching effects of photons (Hong-Ou-Mandel effect).",69.00,38034,6,0
566,The Civil War and Reconstruction - 1850-1861: A House Divided  ,ColumbiaX,History,"A House Divided: The Road to Civil War, 1850-1861 begins by examining how generations of historians have explained the crisis of the Union. After discussing the institution of slavery and its central role in the southern and national economies, it turns to an account of the political and social history of the 1850s. It traces how the issue of the expansion of slavery came to dominate national politics, and how political leaders struggled, unsuccessfully, to resolve the growing crisis. We will examine the impact of key events such as Bleeding Kansas, the Dred Scott decision, the Lincoln-Douglas debates, and John Brown’s raid on Harper’s Ferry, and end with the dissolution of the Union in the winter of 1860-61.",50.00,23949,15,0
567,Risk Management and Credit Principles  ,NYIF,Economics & Finance,"This course is Part 1 of the Credit and Credit Risk Analysis Professional Certificate program from the New York Institute of Finance. The course begins with an introduction to risk management and credit principles. You will review and understand credit risk, credit exposure, and the goals of credit analysis. You will learn about the purpose of debt, debt forms, and the difference between financing from debt vs. equity. ",199.00,9345,6,2
568,Sustainable Food Security: The value of systems thinking  ,WageningenX,Biology & Life Sciences,Systems thinking and environmental sustainability: solve the Rubik 's cube,49.00,27014,6,0
569,Fundamentals of Macroeconomics  ,UC3Mx,Economics & Finance,Are you interested in a serious and solid background in economics? ,129.00,18087,6,0
570,Riñones: conoce sus funciones para mejorar tu salud y calidad de vida  ,UAMx,Medicine,Receive an instructor-signed certificate with the institution's logo to verify your achievement and increase your job prospects,49.00,20582,6,0
571,Advanced Cardiac Imaging: Cardiac Computed Tomography (CT)  ,HKUx,Medicine,*Shortlisted for the Reimagine Education Award 2020 in E-Learning!*,99.00,0,4,0
572,Fundamentos de la guitarra eléctrica y acústica  ,BerkleeX,Music,"Este curso de música enfocado en cómo tocar guitarra te permitirá conocer e implementar los conocimientos necesarios para aprender a tocar guitarra eléctrica o acústica. Este curso de guitarra tendrá un enfoque amigable, permitiéndote desarrollar rápidamente las habilidades necesarias para dominar la guitarra, elMOOC comenzará con la teoría básica de la música, luego pasará por la técnica de la interpretación y terminará con la exploración del instrumento. ",49.00,13365,6,0
573,Energía eléctrica: conceptos y principios básicos  ,TecdeMonterreyX,Engineering,"Actualmente el uso de la electricidad es algo cotidiano, sin embargo, muy pocas personas conocen los conceptos y principios básicos que permiten comprender como funciona, cuáles son sus parámetros básicos, cómo se miden o cómo hacer un mejor uso de la energía. ",49.00,10206,7,1
574,AWS: Getting Started with Cloud Security  ,AWS,Computer Science,"Data security is on the forefront of everyone’s mind these days, with data breaches, denial of service attacks, ransomware and malware being common news stories. In this course two of Amazon Web Services’ Solutions Architects will provide you with a foundational understanding of cloud security, compliance and the AWS shared responsibility model. They will then discuss more technical content by looking at various security controls such as identity and access management services, directory services, network isolation and connectivity options, auditing, monitoring, encryption and managing secrets.This course will cover a number of AWS services, such as Amazon VPC, Amazon CloudWatch, AWS CloudTrail, Amazon GuardDuty, AWS Security Hub, Amazon S3, Amazon EBS, Amazon EC2, and AWS Secrets Manager, among others.Several demonstrations are provided throughout the course to provide a practical example of the concepts that have been discussed. Class discussions will provide an opportunity for you to interact with fellow students as well as AWS training staff.",49.00,8630,4,0
575,Industrial Biotechnology  ,DelftX,Engineering,"As fossil-based fuels and raw materials contribute to climate change, the use of renewable materials and energy as an alternative is increasingly important and common. This transition is not a luxury, but rather a necessity. We can use the unique properties of microorganisms to convert organic waste streams into biomaterials, chemicals and biofuels. This course provides the insights and tools for the design of biotechnology processes in a sustainable way. Six experienced course leaders will teach you the basics of industrial biotechnology and how to apply these to the design of fermentation processes for the production of fuels, chemicals and foodstuffs. ",50.00,12224,7,1
576,Sign Language Science: Factors Contributing to Natural Learning  ,GeorgetownX,Language,"In this course, we will look at how multiple, varying factors can account for language-learning patterns. Age, for example, is a key factor that predicts fluency. Another topic of particular importance to signed languages is the mind. Knowing that spoken language primarily activates the left hemisphere, in this course we will explore how signed languages also primarily activate the left hemisphere.",99.00,0,4,0
577,Introduction to Watson AI  ,IBM,Computer Science,"In this course, you will learn how to quickly and easily get started with Artificial Intelligence using IBM Watson. You will understand how Watson works, become familiar with its use cases and real-life client examples, and be introduced to several Watson AI services from IBM that enable anyone to easily apply AI and build smart apps.",49.00,5233,8,0
578,Grabar y mezclar música  ,BerkleeX,Music,Este curso de producción musical se concentrará en escribir una canción en la que trabajarás en las próximas cuatro semanas.,49.00,11246,4,0
579,Sign Language Science: Emergence and Evolution of Sign Language  ,GeorgetownX,Language,"ASL has a long history and good documentation. This course, Emergence and Evolution of Sign Language, explores the origins of ASL by beginning with the key events and key concepts. How do people learn signed languages? Why do people enjoy using them? This key information will provide a foundation for understanding the relationship between how people use language, how it’s learned, and how a language community is formed and sustained. This foundation will illustrate how the language survives, which is equally important to recognize. These ideas will be discussed in this core course and they provide a foundation of understanding about where language comes from and why they vary.",99.00,8498,4,0
580,Measuring Sustainable Development  ,SDGAcademyX,Data Analysis & Statistics,"Sustainable development is the most important global movement of our time. In 2015, the 193 member states of the United Nations unanimously adopted the 2030 Agenda for Sustainable Development and its 17 Sustainable Development Goals. These interconnected Goals aim to end poverty and promote economic prosperity, ensure social equity, and protect the environment. Above all, the 2030 Agenda commits to “leaving no one behind.” How do we know if we are on track to achieve the SDGs? Which Goals should different countries prioritize? And what kind of data do we need to ensure that everyone is counted?",25.00,0,5,1
581,Foundations of Central Bank Law  ,IMFx,Law,"This IMFx course is designed to strengthen participants' understanding of the foundational legal aspects of central bank laws. The course combines conceptual introductions with practical cross-country legislative examples. The course will enhance participants’ capabilities to look critically at the central bank law of their own country and, where appropriate, formulate avenues to improve it.",25.00,6512,6,1
582,The Science of Parenting  ,UCSanDiegoX,Social Sciences,Receive an instructor-signed certificate with the institution's logo to verify your achievement and increase your job prospects,49.00,37889,5,0
583,"Diseña, fabrica y programa tu propio robot  ",UPValenciaX,Engineering,"En este curso aprenderás a diseñar, fabricar y programar tu propio robot (DYOR: Do Your Own Robot) con Arduino. Es una metodología que llevamos años implementando en asignaturas de robótica de la Universitat Politècnica de València. Está principalmente enfocado a educadores en áreas de Tecnología e Informática, pero también para personas que quieren iniciarse en el mundo Maker.",75.00,25336,6,0
584,Arab-Islamic History: From Tribes to Empires  ,IsraelX,Humanities,"You will study this course in two parts. The first presents the main political events that set the chronological framework for the course, namely 6th century to the arrival of the Ottomans in the Middle East in the beginning of the 16th century. The second part delves into social and cultural realities of the medieval Middle East.",149.00,17744,8,0
585,The Threat of Nuclear Terrorism  ,StanfordOnline,History,"Is the threat of nuclear terrorism real? Listen to Graham Allison, Martha Crenshaw, David Holloway and Joe Martz as they investigate the evidence with myself and selected Stanford students. What would be the consequences of a nuclear terror attack? The scenario is difficult to imagine, but Alex Wellerstein and Lynn Eden help me and our students understand just what could happen if the worst case occurs, and how we can work to limit the damage. What can we do to prevent or mitigate this risk? Participate as I explore this crucial question with the help of Stephen Flynn, Rachel Bronson, Valerie Plame Wilson, Ellen Tauscher and Jeffrey Lewis.",50.00,0,5,0
586,Future Trends of Fashion and Textiles 時尚之未來趨勢(時尚之未来趋势)  ,HKPolyUx,Business & Management,[中文介紹在英文介紹之後; 中文介绍在英文介绍之后],99.00,0,6,0
587,Agile Innovation and Problem Solving Skills  ,UMD,Engineering,"Version 2 of this course series delivers beyond the original agile certification. It includes updated content, better audit and verified learner experiences, and bonus videos on key topics.",199.00,13037,4,2
588,An Introduction to Credit Risk Management  ,DelftX,Business & Management,"Imagine that you are a bank and a main part of your daily business is to lend money. Unfortunately, lending money is a risky business - there is no 100% guarantee that you will get all your money back. If the borrower defaults, you will face losses in your portfolio. Or, in a bit less extreme scenario, if the credit quality of your counterparty deteriorates according to some rating system, the loan will become more risky. These are typical situations in which credit risk manifests itself.",50.00,54239,7,1
589,Railway Engineering: An Integral Approach  ,DelftX,Engineering,Have you ever wondered what it takes to get your train on the right platform at the scheduled time every day?,50.00,18240,6,0
590,Linear Algebra I: Linear Equations  ,GTx,Math,Systems of equations live at the heart of linear algebra. In this course you will explore fundamental concepts by exploring definitions and theorems that give a basis for this subject. At the start of this course we introduce systems of linear equations and a systematic method for solving them. This algorithm will be used for computations throughout the course as you investigate applications of linear algebra and more complex algorithms for analyzing them. ,199.00,0,3,1
591,Marketing Analytics: Price and Promotion Analytics  ,BerkeleyX,Computer Science,"In this marketing course, you will learn how to price your offerings, as well as how to allocate your scarce marketing budget among different promotion vehicles to maximize their overall impact in the organization.",249.00,41420,4,1
592,Sustainable Soil Management: Soil for life  ,WageningenX,Environmental Studies,"Soil is the earth's fragile skin that anchors all life. We depend on soil to build our homes and cities, to grow crops for food and raise livestock, to support transportation and enable recreation. Yet we disregard this crucial and precious resource that lies right under our feet.",49.00,22672,7,0
593,Buscar en Internet  ,UPValenciaX,Computer Science,"En un mundo virtual en el que hay cientos de millones de páginas disponibles con información de todo tipo, buscar en Internet de forma eficaz es una habilidad cada día más necesaria. Aprende con nosotros a separar el grano de la paja usando las herramientas disponibles y realizando las preguntas de forma adecuada.",49.00,27601,7,0
594,"Algorithms: Design and Analysis, Part 2  ",StanfordOnline,Computer Science,"Welcome to the self paced course, Algorithms: Design and Analysis, Part 2! Algorithms are the heart of computer science, and the subject has countless practical applications as well as intellectual depth. This course is an introduction to algorithms for learners with at least a little programming experience. The course is rigorous but emphasizes the big picture and conceptual understanding over low-level implementation and mathematical details. After completing this course, you will have a greater mastery of algorithms than almost anyone without a graduate degree in the subject.",149.00,0,6,1
595,C Programming: Pointers and Memory Management  ,Dartmouth_IMTx,Computer Science,"In this course, we will examine a key concept, foundational to any programming language: the usage of memory.",49.00,19690,7,0
596,Achieving Product-Market Fit  ,UMD,Business & Management,"Entrepreneur and investor Marc Andreessen coined the term product-market fit in 2007 when he said, “Product-market fit means being in a good market with a product that can satisfy that market.” While there are ample articles that mention the term, detailed guidance on how to actually achieve product-market fit is scarce.",199.00,0,4,0
597,Deep Learning through Transformative Pedagogy  ,UQx,Education & Teacher Training,"This education course has been developed for educators and education leaders. It explores deep learning by bringing together the most up-to-date research from cognitive psychology, contemporary educational theories, and neuro-scientific perspectives.",59.00,35077,4,1
598,Introducción a la programación en C: Tipos de datos y estructuras  ,UAMx,Computer Science,Receive an instructor-signed certificate with the institution's logo to verify your achievement and increase your job prospects,49.00,13833,4,0
599,Gestión de operaciones  ,UNCordobaX,Business & Management,"La gestión de operaciones es uno de los pilares de un modelo de negocios, en este curso de negocios y administración nos centraremos en el sector servicios (sector terciario).
En el modelo de administración de empresas, se observa la particularidad de que el proceso interactúa de manera directa con el cliente en tiempo real. ",119.00,9807,6,0
600,Defensores y defensoras de los derechos humanos  ,AmnestyInternationalX,Social Sciences,Los defensores y defensoras de los derechos humanos son personas que tienen la valentía de enfrentarse a la injusticia.,49.00,19914,4,0
601,Climate Change: Carbon Capture and Storage  ,EdinburghX,Engineering,"The atmosphere is a shared resource and the amount of greenhouse gases it can absorb is a finite resource. This introductory course to the technology of Carbon Capture and Storage is designed for a wider audience with an interest in energy, sustainability and climate change. ",49.00,10999,5,0
602,Transformación digital en las empresas  ,JaverianaX,Business & Management,"Las empresas exitosas y ambiciosas que están empezando a ser impulsadas digitalmente, están creando y apoderándose de nuevos mercados en cada sector. Sin embargo, la mayoría de los modelos de negocio heredados continúan operando con técnicas antiguas. La mayoría no está al día con los cambios en su industria, y mucho menos al día en el proceso de transformación digital o digitalización: ¿qué estás haciendo tú y tu empresa en este proceso? ",49.00,5302,7,0
603,"Plato, Socrates, and the Birth of Western Philosophy  西方哲学精神探源  ",TsinghuaX,Humanities,This philosophy course explores the origins of Western philosophy – a rich tapestry of ideas that began with the most noted ancient Greek and Roman philosophers.,49.00,21569,16,0
604,Mining Massive Datasets  ,StanfordOnline,Computer Science,"The course is based on the text Mining of Massive Datasets by Jure Leskovec, Anand Rajaraman, and Jeff Ullman, who by coincidence are also the instructors for the course.",149.00,5682,7,2
605,System Design for Supply Chain Management and Logistics  ,ChalmersX,Business & Management,"Logistics and supply chain structures can be found in virtually any system. In this business and management course you will learn not only what makes leading systems competitive but also how to design, or redesign, your own system.",49.00,19910,7,0
606,International Investment Law  ,LouvainX,Law,"Are you aware of the controversial situations facing States and foreign investors nowadays in relation to, for instance, the protection of public health and the environment? Do you recall recent cases such as Philip Morris v Uruguay and Vattenfall v Germany?",150.00,23747,10,2
607,Introducción a la Inteligencia Artificial: Principales Algoritmos  ,GalileoX,Computer Science,En este curso lograrás familiarizarte con los principios filosóficos y algorítmicos de las técnicas más populares de inteligencia artificial.,49.00,0,4,0
608,Mandarin Chinese for Business  ,MandarinX,Language,Take the next step in learning Mandarin Chinese and expand your language skills so you can effectively communicate in Chinese business. ,149.00,12768,6,1
609,Music For Wellness  ,BerkleeX,Humanities,"You love music. You listen to music all the time. Maybe you sing, play an instrument, or compose music. You don’t need to have musical talent to use music to enhance your well being, and even your health.",49.00,20016,4,0
610,Think. Create. Code  ,AdelaideX,Computer Science,"Learn how to create your own artistic images and animations and display them in our online gallery, which has now been enhanced to suit self-paced learners.",50.00,52984,6,0
611,El método de ciencia de datos  ,IBM,Data Analysis & Statistics,"A pesar de la afluencia en el poder de cómputo y el acceso a los datos en las últimas décadas, nuestra capacidad de usar los datos dentro del proceso de toma de decisiones se pierde o no se maximiza con demasiada frecuencia. No tenemos una buena comprensión de las preguntas formuladas y cómo aplicar los datos correctamente para resolver los problemas en cuestión.",39.00,0,7,0
612,Liderazgo para mandos intermedios  ,UPValenciaX,Business & Management,En este curso de liderazgo conocerás diferentes estilos de liderazgo y las situaciones en las que son más adecuados; reflexionarás sobre las capacidades personales para ejercer un liderazgo efectivo; analizarás tu competencia transversal “liderazgo” y establecerás un plan de trabajo personal para mejorar tus habilidades como líder y convertirte en un líder eficaz. ,150.00,37156,6,1
613,Bienestar para el desarrollo personal y profesional  ,AnahuacX,Health & Safety,"El bienestar se ha convertido en una tendencia global que busca el equilibrio y balance en la vida de cada persona. Sin embargo, hasta ahorita comienza a ser parte de Latino América. Con este curso, podrás ser parte del cambio.",29.00,0,5,1
614,Quantitative Biology Workshop  ,MITx,Biology & Life Sciences,"Do you have an interest in biology and quantitative tools? Do you know computational methods but do not realize how they apply to biological problems? Do you know biology but do not understand how scientists really analyze complicated data? 7.QBWx: Quantitative Biology Workshop is designed to give learners exposure to the application of quantitative tools to analyze biological data at an introductory level. The Biology Department of MIT has run this workshop-style course as part of a one-week outreach program for students from other universities. With 7.QBWx, we can give more learners from around the world the chance to discover quantitative biology. We hope that this series of workshops encourages learners to explore new interests and take more biology and computational courses.",99.00,18015,9,1
615,Teamwork & Collaboration  ,RITx,Communication,"In today’s workplace, professionals don’t work alone, and rarely work with just one other person. More often, we are required to work in groups to strategize, design solutions, ideate, motivate, manage, and execute.",199.00,0,3,0
616,Introduction to Java Programming – Part 2  ,HKUSTx,Computer Science,Do you want to become a better problem solver?,99.00,71319,5,0
617,Análisis de datos: Diseño y Visualización de Tableros  ,DelftX,Computer Science,¿Luchando con los datos en tu trabajo? ¿Gastando tiempo valioso trabajando en muchas hojas de cálculo en Excel para obtener un resumen de tu negocio? ¿Tienes dificultades para obtener un tablero detallado a partir de montones de datos en tu escritorio? ¿Quieres entender cómo analizar Big Data?,49.00,18667,8,1
618,Knowledge Management and Big Data in Business  ,HKPolyUx,Business & Management,Receive an instructor-signed certificate with the institution's logo to verify your achievement and increase your job prospects,50.00,69413,8,0
619,Bases Matemáticas: Integrales  ,UPValenciaX,Math,"Este curso se concibe como una revisión de los conceptos básicos del cálculo diferencial, necesarios para los primeros cursos de aquellos estudios universitarios en los que se imparte matemáticas. Nuestro objetivo es proporcionar un curso básico sobre funciones y derivadas, incluyendo sus aplicaciones.",50.00,24087,5,0
620,Enseñanza temprana de matemáticas y ciencias  ,IDBx,Education & Teacher Training,"¿Sabes que en el mundo actual, debido a la creciente presencia de alta tecnología en nuestras vidas, la demanda de trabajadores alfabetizados en matemáticas y ciencias es más alta que nunca y no ha dado ninguna señal de que disminuirá en el futuro? ",25.00,8663,10,0
621,Terrorism and Counterterrorism  ,GeorgetownX,Humanities,"Terrorism has gone from a persistent yet marginal security concern to one of the most important security problems of our day. There are few countries that do not suffer from some form of terrorism. Though many attempts at terrorism fail, some groups wage lengthy and bloody campaigns and, in exceptional cases, kill hundreds or even thousands in pursuit of their ends.",49.00,28982,7,0
622,Climate Change: The Science and Global Impact  ,SDGAcademyX,Energy & Earth Sciences,"Climate change is arguably the greatest challenge of our time. Human activity has already warmed the planet by one degree Celsius relative to pre-industrial times, and we are feeling the effects through record heat waves, droughts, wildfires and flooding. If we continue to burn fossil fuels at the current rate, the planet will reach two degrees of warming by 2050—the threshold that many scientists have identified as a dangerous tipping point. What is the science behind these projections?",49.00,17490,8,1
623,Email marketing: diseño y gestión de campañas  ,GalileoX,Communication,"El email marketing es una de las herramientas de marketing digital con mayor tasa de conversión de ventas y fidelización. Permite segmentar, personalizar los mensajes y medir los resultados de una forma efectiva, convirtiendolo en uno de los recursos más eficientes en el mundo empresarial. El email marketing es una parte fundamental de la mercadotecnia en la era digital.",49.00,10074,5,0
624,Gender and Sexuality: Applications in Society  ,UBCx,Humanities,"Navigating through the complexities of Gender & Sexuality is a necessity in our world, now more than ever. Engage with globally renowned scholars from top Canadian universities to learn concepts and practices that advance respect and human rights. This course will teach you to better understand and apply knowledge about gender and sexuality -- a critical first step in addressing social, economic and cultural inequalities. ",50.00,11118,6,0
625,Machine Dynamics with MATLAB  ,RWTHx,Engineering,"This course will introduce you to a broad range of methodologies used in the field of machine dynamics. You will learn how to model a vehicle using the fundamentals of mechanics. You will get a deep understanding of the equations of motion and how to solve them using powerful MathWorks tools. Eventually, you will gain the ability to analyze and interpret the computational results in order to optimize your design. ",99.00,11269,7,1
626,IoT System Design: Software and Hardware Integration  ,WasedaX,Computer Science,This course is designed to teach you how systems are developed using IoT technology.,99.00,13749,4,1
627,Herramientas para el Análisis de Big Data  ,TecdeMonterreyX,Data Analysis & Statistics,"Cuando se trata de herramientas para el análisis de datos, siempre tenemos las siguientes preguntas: ¿Cuál es la diferencia entre tantas herramientas que existen?¿Cuál es la mejor?¿Cuál deberia aprender?",49.00,8358,4,1
628,Derechos humanos: Los derechos de las personas refugiadas  ,AmnestyInternationalX,Humanities,"En todo el mundo se están levantando barreras. A diario, las personas que huyen de la guerra y la persecución ven cómo les cierran la puerta en las narices.",49.00,28673,3,0
629,Risk Management in Development Projects  ,IDBx,Business & Management,Project teams usually spend a large portion of their time solving problems instead of preventing them. Project risk management seeks to preemptively manage positive and negative events that may affect a project so as to improve its chance of success. ,25.00,13543,10,1
630,Essential Career Skills for Investment Banking and Finance  ,NYIF,Business & Management,This course will improve your financial fluency so that you speak like a seasoned professional when starting or advancing your career in Investment Banking and Finance. ,49.00,12113,2,0
